esco_skill_label,esco_skill_uri,max_similarity,n_similar,mean_similarity,max_similarity_capability
sell train tickets,http://data.europa.eu/esco/skill/21b61d11-bfb9-4322-9b5e-31acf5ff0891,0.8050452470779419,0,0.594438582235618,operate online marketplace for buying and selling alternative and real estate investments
use weft preparation technologies,http://data.europa.eu/esco/skill/21bb2766-92b0-4f52-8747-a92fdbdeac9a,0.9270400404930115,31,0.7249247684867179,use generative artificial intelligence for industry solutions
report harvested fish production,http://data.europa.eu/esco/skill/21bcdc7c-6153-414a-b478-eeca2db2fea6,0.8175665140151978,0,0.589877464609019,forecast crop seasonality and production changes
adapt to emergency care environment,http://data.europa.eu/esco/skill/21c35dda-555a-4db7-8984-c01dcd8ad865,0.9399005174636841,122,0.6764455730142755,enhance quality of care and access to critical information to improve patient's health outcomes
manage budgets,http://data.europa.eu/esco/skill/21c5790c-0930-4d74-b3b0-84caf5af12ea,0.8812611699104309,0,0.6675340270703117,budget and expense tracking
arrange permit for market stall,http://data.europa.eu/esco/skill/21d11c4b-3871-411b-a3c1-b06d31d929f2,0.8849170804023743,0,0.656132906973371,create tools for the fixed income market
ensure refrigeration of food in the supply chain,http://data.europa.eu/esco/skill/21d5f9c6-c35d-4c70-bbc5-f32cbd7b2500,0.9331449270248413,39,0.6304369100557673,monitor and regenerate the biodiversity of production sites and supply chains
coordinate the sale of game,http://data.europa.eu/esco/skill/21dc3539-3aeb-474a-856d-4b0abe28da03,0.8967135548591614,0,0.5796630550527858,facilitate the posting of online advertisements
adjust feeder tubes,http://data.europa.eu/esco/skill/21dd2c29-5e33-4d7c-a58a-246731f74400,0.8100940585136414,0,0.5814544601937172,monitor cage and large machine utilization
create ceramic work by hand,http://data.europa.eu/esco/skill/21e84b95-0923-480b-87d7-e2f8db0c0f5a,0.8646416068077087,0,0.5983312463838811,edit existing visuals by adding and removing elements
use stenotype machines,http://data.europa.eu/esco/skill/21ea63c6-6b2a-4381-9e7d-51ddcf3d5f67,0.9297105073928833,59,0.7103331265333391,use of big data platforms to coordinate and improve the efficiency of grass-roots work
inspect hazardous freight in accordance with regulations,http://data.europa.eu/esco/skill/21fd9112-8abb-4a3d-a933-f84176df97b7,0.9247599840164185,44,0.7056162079253405,"democratize access to financial innovation, particularly in regions with limited accessibility"
inspire enthusiasm for dance,http://data.europa.eu/esco/skill/21fe231d-7063-4227-8cda-765d8ce1cf87,0.8934550285339355,0,0.6373529239943271,sense and adapt to changing work environments in real time
create project specifications,http://data.europa.eu/esco/skill/21fecc8a-392e-49ce-ac26-fb0696ccfead,0.9543189406394958,230,0.7374523651376439,"provide contextual results tailored to each organization, industry, and domain"
establish aquarium,http://data.europa.eu/esco/skill/21ff9798-5ab7-4997-8a29-a5065d739780,0.8688530921936035,0,0.6617119794312848,"store, search, and find the most relevant and up-to-date information from company data"
change over props,http://data.europa.eu/esco/skill/22009da9-5a95-4b71-8c46-e8dcac43620d,0.8733245730400085,0,0.6521621278830977,gain visibility into shipments and orders across all modes and geographies on a single platform
understand written Punjabi,http://data.europa.eu/esco/skill/2203ac44-f4a7-4d34-a55f-1af107415988,0.7970929741859436,0,0.5149500253904413,read and understand contracts
answer requests for quotation,http://data.europa.eu/esco/skill/2206af0c-3deb-48c5-a544-b9983d347da3,0.8960720300674438,0,0.6758148978524705,provide a platform for informed action and result measurement
enable patients to explore artworks,http://data.europa.eu/esco/skill/220ab0df-c231-4dc5-9b83-b49b905141fd,0.9204132556915283,38,0.6925922816542956,provide context and personalized touch to presentations
ensure proper appointment administration,http://data.europa.eu/esco/skill/220b7796-c5d8-4b8e-a0d8-fd1934f0f0dd,0.9302316904067993,58,0.7155855652741605,manage security and adherence to business and regulatory compliance requirements across different locations
create enamels,http://data.europa.eu/esco/skill/22119088-b2ac-4b13-9b3c-5bc01ef3ce72,0.8905767798423767,0,0.6779680898538953,create standardized patentable formulas with natural ingredients
promote farm products,http://data.europa.eu/esco/skill/22134337-8baa-4879-adec-d9cdbc02cc27,0.8822652697563171,0,0.6529384582028992,generate agricultural products
prepare surveying report,http://data.europa.eu/esco/skill/222137dc-9021-4be8-bb7a-29833e02616a,0.8739700317382812,0,0.6775060024085132,focus permitting and detailed inspection resources
clean marble furniture,http://data.europa.eu/esco/skill/2229ed63-543b-4219-b2b1-b45017b370c6,0.8010308146476746,0,0.5628451953487059,track and trace wood materials
manage vehicle inventory,http://data.europa.eu/esco/skill/222bcd83-1ac6-4c2f-93c9-39ac835067f1,0.9079685807228088,1,0.6956465423356222,amplify vehicle inventory management
write Romani,http://data.europa.eu/esco/skill/222bf50b-6739-48b1-a655-658306c3529f,0.843583881855011,0,0.4500286214151353,read research in multiple languages
operate rail grinder,http://data.europa.eu/esco/skill/2234710a-2358-49a2-aa33-b0230a76d39d,0.8391136527061462,0,0.6090010887393877,streamline rail shipment processes
plan aquatic resources feeding regimes,http://data.europa.eu/esco/skill/2234f499-aae9-4a7a-9d41-3aaa5cd98c07,0.8863589763641357,0,0.7043445433686679,accelerate research and operations insights related to potential pathogen risks throughout the food supply chain
clean vending machines,http://data.europa.eu/esco/skill/22382bae-77e8-4229-a68c-032e78e956cb,0.8438714742660522,0,0.6444260144142376,automate sorting systems for recycling materials with precision and speed
maintain relationship with customers,http://data.europa.eu/esco/skill/2239694b-771a-4586-8b54-2794e361a9ae,0.9409332275390625,150,0.726166950011598,support advertising clients with performance and precision targeting
assist students with their enrolment,http://data.europa.eu/esco/skill/223dcb57-20cf-4caa-88a3-809df043acbb,0.9196861982345581,8,0.6867511992105299,"personalize experience to meet the needs of individual staff members, teams, and students"
handle case evidence,http://data.europa.eu/esco/skill/2242a42b-f810-4007-bd9c-e761f863cfd9,0.929371178150177,30,0.6966058255426208,reduce the need for explicit human involvement in content creation
use water navigation devices,http://data.europa.eu/esco/skill/224423a6-ac6a-4b3e-be7c-e38b41f82116,0.9160091876983643,10,0.7204563681797896,"develop digital tools for monitoring, measuring, and controlling water usage in fields"
give advice on personal matters,http://data.europa.eu/esco/skill/2245cba7-fa4f-47b8-a0cb-3a6b60d703ee,0.9042020440101624,2,0.6258638483135734,engage with modern consumer interests without relying on personal data
tend stamping press,http://data.europa.eu/esco/skill/224ba28f-2024-42aa-8684-15ce482fa9ca,0.8774545788764954,0,0.6921845172156228,"provide users with actionable steps to identify and remediate to streamline the incident response process while minimizing downtime, reducing damage, and quickly restoring normal operations"
observe products' behaviour under processing conditions,http://data.europa.eu/esco/skill/226e5d40-e28c-46c2-b338-9d1c05e46198,0.9033477306365967,1,0.6423493851982325,monitor residents' health and activity patterns
manage distribution of destination promotional materials,http://data.europa.eu/esco/skill/2274827b-eeb5-457d-a60f-a3c04aedbc19,0.9657344818115234,512,0.6603163977482089,guide the output of promotion and distribution materials
interact verbally in Arabic,http://data.europa.eu/esco/skill/227accd5-5e70-4cc3-8f1c-3f7b52eb6848,0.9288198947906494,2,0.5068753941699569,communicate in multiple languages
hire background musicians,http://data.europa.eu/esco/skill/227b7275-5220-4349-b187-01facf00b042,0.8355352282524109,0,0.6099290970913307,analyze music tracks through spectrograms to identify and recommend similar tracks
create new fight sequences,http://data.europa.eu/esco/skill/227b9d79-b9af-4757-ae91-2532434f15ac,0.9258382320404053,7,0.7081215197906561,reduce the time needed to create and distribute new content
oversee shipment routing,http://data.europa.eu/esco/skill/228f21a6-3b2c-40d5-bcea-ba7b1fdf92d2,0.9252090454101562,22,0.7218614373803974,accelerate the permitting and construction planning processes
manage project information,http://data.europa.eu/esco/skill/22902bf9-cc3f-495b-811a-c441e28e23f6,0.9339007139205933,114,0.7346508692190217,"provide streamlined, personalized access to resources and communication in a single platform"
facilitate teamwork between students,http://data.europa.eu/esco/skill/229b10cf-6f3a-490c-9706-01c107df0562,0.9175726771354675,6,0.672762391897775,facilitate collaboration between business and technical teams
prepare tax returns forms,http://data.europa.eu/esco/skill/22a173f5-868c-4d82-87e6-beed500ce070,0.8867381811141968,0,0.6263936005045034,identify and help resolve missing tax registrations
lead a team in fishery services,http://data.europa.eu/esco/skill/22a1cbbd-58fd-4fda-99f0-e91b688788d8,0.8945972919464111,0,0.6326454123110816,offer revenue operations functionality in a unified platform
use heat gun,http://data.europa.eu/esco/skill/22b11b01-ccf8-4745-9738-4fc8526ad073,0.8002378940582275,0,0.5609180006246133,pick and deliver orders within a specific time frame
set quality assurance objectives,http://data.europa.eu/esco/skill/22b8039c-c890-4610-9228-5527e3b98f12,0.9319570660591125,49,0.7382230231011001,set standards for medical visualization and interaction
motivate employees,http://data.europa.eu/esco/skill/22c2af9e-ba0d-4cee-abb6-b6dbef006cd5,0.9267521500587463,58,0.6946193098249741,"optimize healthcare moments that matter to patients, employees, and communities"
assist in developing marketing campaigns,http://data.europa.eu/esco/skill/22c3b4ff-e2e0-4b40-8f3d-17788c0df295,0.949161171913147,206,0.7166946465204957,develop and promote technologies for transparency in the voluntary carbon credit market
comply with railway safety standards,http://data.europa.eu/esco/skill/22ca7fdd-f6e0-473a-b797-a8ac955a319a,0.9196140766143799,8,0.684385963062082,ensure compliance with vehicle manufacturing regulations
analyse theatre texts,http://data.europa.eu/esco/skill/22cbb90f-0bf1-4c30-98c0-7c9749b4e08d,0.8994612097740173,0,0.6645855814543917,ensure cultural relevance and linguistic accuracy in translations
evaluate psychological health measures,http://data.europa.eu/esco/skill/22d363fa-45c0-46fd-a68d-e90182ae9791,0.9132388830184937,7,0.694052886070863,identify psychosocial factors impacting workforce wellbeing and performance
inspect overhead power lines,http://data.europa.eu/esco/skill/22d69f7d-cbbf-4098-a5a8-a1b2f73cafb0,0.9056621789932251,6,0.6958894529553947,"detect, remediate, and prevent secrets exposure across the software development pipeline"
control open-fire kettles,http://data.europa.eu/esco/skill/22e08173-7321-49b6-b229-75bff9d9d5ea,0.8197619915008545,0,0.6086461616076904,build and deploy applications in air-gapped environments without public internet connection
watch for maritime navigation aids,http://data.europa.eu/esco/skill/22f9d9a9-404b-4de7-8467-5ae8ff4b8676,0.9307170510292053,39,0.7180912433710709,interconnect objects for monitoring and interaction
maintain forest inventory,http://data.europa.eu/esco/skill/22fedbdc-8103-4ade-9c83-f0f861c8b900,0.8840277791023254,0,0.6506723295694196,"accomplish all of the above in a secure, compliant, and cost-effective manner, running securely in their cloud account"
store soap flakes,http://data.europa.eu/esco/skill/22ff5433-05f7-4ff2-b3ba-7e36f421c8cf,0.7549723982810974,0,0.4973364687185159,integrate liquid cooling into computing servers
inspect manufacture of rolling stock,http://data.europa.eu/esco/skill/23033c54-cc98-47dc-b972-4a8d1646754d,0.9262850880622864,80,0.6956576306124322,accelerate the delivery of products and services
apply forest legislation,http://data.europa.eu/esco/skill/23072dbb-e93b-48ab-8756-c64f74aaab26,0.9052062630653381,1,0.6750825216932066,measure decarbonisation initiatives involving carbon sequestration and better land management
assess heating and cooling systems,http://data.europa.eu/esco/skill/2307b2e5-433d-4168-b486-fddb2b5ce129,0.9567941427230835,232,0.7176090240417149,enhance productivity and efficiency with advanced analytics capabilities in the areas of industrial and building automation
enforce financial policies,http://data.europa.eu/esco/skill/2313b15d-a9a7-4830-9bcc-fd7df79d842b,0.9316076636314392,24,0.673516846789075,automate the administration of security and governance
stir herbs in vats,http://data.europa.eu/esco/skill/231dac27-5a24-41a5-b668-e7b482bad7c4,0.8620323538780212,0,0.49297049963841455,identify active ingredients in botanicals and herbs
test microelectromechanical systems,http://data.europa.eu/esco/skill/23236dce-adc6-47bc-91e2-6701a93ece58,0.9117255806922913,11,0.7159520531396836,validate operational effectiveness and efficiency with liquid cooling and testing processes
organise wires,http://data.europa.eu/esco/skill/232cde64-186f-4fbe-b2ae-4a68aad70a67,0.8509938716888428,0,0.6205991469261753,connecting remote sensors and smart devices to the cloud securely and cost-effectively
manage volunteers,http://data.europa.eu/esco/skill/232f854a-f5b9-4d8a-8499-23f59852273c,0.9068951606750488,1,0.6662418238349632,"personalize experience to meet the needs of individual staff members, teams, and students"
ensure compliance with safety legislation,http://data.europa.eu/esco/skill/233be639-bdb5-4099-ab40-96d537d6c1f3,0.9654394388198853,88,0.6994226052274836,ensure compliance with regulations
tend wire weaving machine,http://data.europa.eu/esco/skill/234250a1-7e93-49b2-b17c-c93d635bb231,0.7867700457572937,0,0.5514843314300149,monitor cage and large machine utilization
inspect staff,http://data.europa.eu/esco/skill/2342a29c-6965-46dc-bdde-ec0e9d330e6f,0.8789939284324646,0,0.6089616596111704,enable nurses and staff to focus on patient care
plan aquaculture cage mooring system,http://data.europa.eu/esco/skill/234415ed-fa53-496a-99ee-2b10d155cdbc,0.8452723622322083,0,0.6407608753551753,plan work in a single system seamlessly connected to engineering ticketing systems
create storyboards,http://data.europa.eu/esco/skill/2344fb75-9deb-4e6e-b485-3e30df082920,0.9075642824172974,1,0.695103553991279,"create a new way to view and quantify muscle volume, quality and asymmetries"
use presentation software,http://data.europa.eu/esco/skill/234aeb8d-56c3-4531-9193-1c5e6a8d16cb,0.918933629989624,34,0.7312223864834011,use APIs for medication review and creation
replace filled pallets,http://data.europa.eu/esco/skill/234b7707-d762-4f1c-8b42-1716694d3616,0.7684797644615173,0,0.5407747940874973,pick and deliver orders within a specific time frame
manage government funding,http://data.europa.eu/esco/skill/234d1c8f-c921-483e-9a6e-4fbfc14946dc,0.920087456703186,33,0.7057731124192269,implement compliance management systems to meet state and local government requirements
bathe dogs,http://data.europa.eu/esco/skill/23531571-0de4-4644-b0d3-092b2f1b8678,0.7482033371925354,0,0.4582464776768199,provide moisture and care for hair cuticles with hair dryer technology
perform military operations,http://data.europa.eu/esco/skill/2357e4f8-4b42-4969-bd17-cfea963956c0,0.9118083119392395,3,0.6822834927229012,"redefine military planning, training, and simulation outcomes"
undertake research in medical genetics,http://data.europa.eu/esco/skill/235a6894-16ad-42f4-a16a-d0da28e7448c,0.9403533339500427,69,0.6523179779034586,reduce transportation and logistics complexities in clinical trials
provide advice to farmers,http://data.europa.eu/esco/skill/235b15d9-5ccd-4406-8993-f6dd0de2c4c9,0.9418740272521973,118,0.6603354405970507,provide individualized advice to customers
adjust measuring machines,http://data.europa.eu/esco/skill/236c446a-f4ff-4893-850a-0d93250c551f,0.8969814777374268,0,0.6909993517845957,"monitor, analyze and optimize the performance of machine learning models"
research immune system malfunctions,http://data.europa.eu/esco/skill/236e368e-28ff-469e-b3c0-e1d364f5da71,0.8765521049499512,0,0.6654244941323563,manage complex system interactions
understand spoken Vietnamese,http://data.europa.eu/esco/skill/237420c1-1882-4ce0-aa48-41a8e61977e5,0.790182888507843,0,0.5380506691248227,understand context and meaning
identify digital competence gaps,http://data.europa.eu/esco/skill/238343b1-7b51-42b3-a9ed-cf24d3a236e7,0.9344387650489807,191,0.7425989696152915,"provide personalized, real-time feedback and guidance to enhance conversational and interpersonal abilities"
monitor nature conservation,http://data.europa.eu/esco/skill/23845010-4c1e-41d3-94a3-940bcab65bce,0.9205321073532104,6,0.7022970284375023,monitor biodiversity preservation and restoration
set up equipment for food production,http://data.europa.eu/esco/skill/2384ce67-127d-467c-8ac3-cdabd3629936,0.9252840280532837,1,0.6728560823755679,perform purchasing and procurement for food industry
perform a feasibility study on electric heating,http://data.europa.eu/esco/skill/23872ce8-ea42-44ac-9b00-ccc0dc407209,0.9489345550537109,260,0.7171760476320664,improve the efficiency and effectiveness of the expert matching process
monitor train schedules,http://data.europa.eu/esco/skill/2391008a-88f9-486c-90f2-8cbc1597964f,0.8790138363838196,0,0.65864923262684,optimize routes and schedules
imprint circuit design onto wafers,http://data.europa.eu/esco/skill/2399952b-9991-4c7c-83c7-ea984fa78830,0.9010546803474426,1,0.683306734551867,make complex workflows more efficient by identifying the best sequence and critical paths between nodes on a graph
select hazard control,http://data.europa.eu/esco/skill/2399e65b-cf2b-4f5b-9002-607e790fcf2a,0.9127518534660339,2,0.7062394328008391,assess potential risks and define controls
detect finger prints,http://data.europa.eu/esco/skill/23a3d985-7945-465f-bb32-7af25cd065df,0.8861339688301086,0,0.6627898301326789,view all untracked shipments by carrier in one place with specific root cause errors and details on how to fix the errors
monitor developments in field of expertise,http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e,0.963310182094574,126,0.6520050869719486,introduce advanced technology in the field of security
prepare meat products for use in a dish,http://data.europa.eu/esco/skill/23b355ee-94db-4831-b16d-935adc5de1cd,0.8512937426567078,0,0.6277912265586575,orchestrate even advanced workloads in a highly available manner
provide footwear advice to patients,http://data.europa.eu/esco/skill/23b6c9ee-4f00-458f-8aaa-0c4ff7eac913,0.9505058526992798,292,0.6679842352790959,provide individualized advice to customers
work safely with hot materials,http://data.europa.eu/esco/skill/23b8dced-62a9-41f4-8b41-692e2d8e6d52,0.8374181389808655,0,0.6161195153789346,Noctua cooling components ensure cool and quiet performance
negotiate in legal cases,http://data.europa.eu/esco/skill/23b97a3e-dfde-4627-9d97-114a9f3e4cd0,0.9171653389930725,5,0.6269241877082361,improve organization management in legal proceedings
tend discharge conveyor,http://data.europa.eu/esco/skill/23bfab2e-bf4d-462b-bcac-0c46733a1d4b,0.9037365317344666,1,0.6840403240552695,"provide users with actionable steps to identify and remediate to streamline the incident response process while minimizing downtime, reducing damage, and quickly restoring normal operations"
use solvents,http://data.europa.eu/esco/skill/23c759df-9860-41d8-80be-d00e0e6ad613,0.8831260800361633,0,0.6558146448377912,use less water and cleaning agents
develop bioremediation techniques,http://data.europa.eu/esco/skill/23cb29ec-5738-4966-8453-09952ed8c1fc,0.9341445565223694,90,0.7438760295473936,automatically create practice and reinforcement mechanisms
secure the liner,http://data.europa.eu/esco/skill/23cf0f69-eb33-496c-8926-6f18dd1a42f9,0.846767783164978,0,0.5725051271968964,record from the front and inside of the vehicle
maintain cores,http://data.europa.eu/esco/skill/23d124d7-d9a7-421f-ab7a-fb077c430956,0.8672213554382324,0,0.6741312242172421,handle connectivity and real-time data processing of various sensors and devices at the edge
plan tanning finishing operations,http://data.europa.eu/esco/skill/23d254ea-dfea-4e2e-b032-8f0ac7baa220,0.929163932800293,27,0.7063959525214949,accelerate the permitting and construction planning processes
maintain physical condition of warehouse,http://data.europa.eu/esco/skill/23db1cab-e565-4a90-89f8-3a8685a20029,0.938479483127594,298,0.6931318905809688,improve identification of complications during labor and delivery
repair heat sealing machinery,http://data.europa.eu/esco/skill/23ded2ec-4ef2-4f75-b8bb-753408af1ee3,0.8408817052841187,0,0.5912302702720185,"calculate available capacity in breaker panels for EV chargers, heat pumps, electric water heating"
maintain client debt records,http://data.europa.eu/esco/skill/24016006-c963-4135-a2c5-b1f7740782e2,0.8640637993812561,0,0.6338347250635074,accelerates and streamlines debt recovery
draw up costume sketches,http://data.europa.eu/esco/skill/2409b33a-5776-4b13-bfb6-2c8485248b2a,0.8424191474914551,0,0.5359276234982261,scale up volume of slide images analysis
handle chemicals,http://data.europa.eu/esco/skill/2416dc09-6384-409e-8b1d-80bb7a2e7369,0.8899011015892029,0,0.684562172148501,enhance material handling processes
entertain people,http://data.europa.eu/esco/skill/241c5dc8-ff07-4248-b922-de1aa591e4f4,0.8866801261901855,0,0.6275467825930381,create effective calling pitches for a plan or an individual
maintain farm equipment,http://data.europa.eu/esco/skill/241f559e-d255-4e93-b448-19ae20406dea,0.8610233664512634,0,0.6337584930151451,offer savings on inventory storage and preparation
consult with production director,http://data.europa.eu/esco/skill/24229e89-9e1d-4c1a-ae23-c64777b152ce,0.9135661721229553,3,0.6625816719682582,associate entities with the exception
sell cocoons of silk worms,http://data.europa.eu/esco/skill/2427878e-33c9-4a70-9016-4630484a41ff,0.8345620632171631,0,0.5285557975870746,comb through corpus of contracts
create artwork,http://data.europa.eu/esco/skill/24301020-af48-4532-a1a6-e58567789436,0.8937322497367859,0,0.6774274982039632,"create a sustainable, efficient, and automated recycling process"
create incident reports,http://data.europa.eu/esco/skill/24310a7b-5db1-4917-a705-4835630227ca,0.8716973066329956,0,0.6343026580959836,"accurately measure impact of people, culture, and engagement across an organization"
assist patients with rehabilitation,http://data.europa.eu/esco/skill/2435cec5-38ed-4ec2-8cbe-57381ffcf353,0.9424973130226135,160,0.7219248005722861,navigate technical testing with patients and families
pose in front of a camera,http://data.europa.eu/esco/skill/243a6931-24ce-45fa-831b-c11d4cd9f165,0.9386773705482483,7,0.5724121866988207,manage thousands of molecules in a single submission
carry out neuropsychological testing,http://data.europa.eu/esco/skill/2441d964-bdae-460e-acd0-334ce780a683,0.9302140474319458,80,0.7393364648111391,apply sophisticated data models and machine learning to identify and resolve noncompliance in drug discount programs
operate traditional water depth measurement equipment,http://data.europa.eu/esco/skill/244472a5-8a2f-4f7f-b4c6-98e672fa3dbe,0.9249876141548157,2,0.7058250395290926,utilize conductivity sensor to compare data levels of pure water and salt solutions
mark designs on metal pieces,http://data.europa.eu/esco/skill/244695ff-d939-4972-a695-d404782e8de1,0.8399738669395447,0,0.5101877454838007,translate personal interests into custom designs on phone accessories
work in fitness teams,http://data.europa.eu/esco/skill/2450b273-bc3f-418f-862b-27c2309f4c54,0.9237909913063049,1,0.640404824365512,monitor team progress in training and certification
recognize cytologic abnormalities,http://data.europa.eu/esco/skill/24513b22-fed9-4f28-9c37-8b4d198b42b6,0.8987727761268616,0,0.6465118566508883,detect minimal residual disease and monitor recurrence
perform packing of footwear and leather goods,http://data.europa.eu/esco/skill/24530d21-e744-427d-98df-48164f2bfe1c,0.9078826904296875,5,0.6513355225968912,"simplify the process of buying, selling and financing homes"
pose for artistic creation,http://data.europa.eu/esco/skill/2454c50c-0bb0-43c2-a47f-0f3011560b59,0.9050730466842651,1,0.6470301400083411,"accurately measure impact of people, culture, and engagement across an organization"
provide escort services,http://data.europa.eu/esco/skill/245cee67-a830-4b8b-ad71-c990a156a774,0.9115787744522095,4,0.6483118257313608,provide personalized services
use filters to dewater starch,http://data.europa.eu/esco/skill/246500df-dab3-43b5-bb92-31a0c89ba8e8,0.929629385471344,14,0.6347877942562293,apply Guardrails to filter undesired content
communicate specialised veterinary information,http://data.europa.eu/esco/skill/246c0425-b9f8-44db-b989-4f4385732413,0.9331356287002563,158,0.727242767640467,provide access to smart insights in single dashboard for real-time monitoring of vehicle inventory including location and health parameters
monitor the effects of medication,http://data.europa.eu/esco/skill/2472a8c9-06f3-42f0-9c02-93e9ec00c507,0.9599472284317017,322,0.6673685474070367,measure the effectiveness of potential therapies
assess harvesting impact on wildlife,http://data.europa.eu/esco/skill/2474e095-309f-4283-b880-6a3a9aec4d34,0.9346266388893127,15,0.6421540046013028,recognize impacts of weather on driver decisions
empathise with the healthcare user,http://data.europa.eu/esco/skill/2475cd27-8d6c-4318-a364-21395b23acba,0.9385892152786255,174,0.7252038571213146,"gather and share information about the trustworthiness and compliance of AI models with third parties, clients, and regulators"
manage wine production,http://data.europa.eu/esco/skill/24783286-361a-44db-b0f1-aaabe35aef5d,0.8442252278327942,0,0.607949756616671,monitor and regenerate the biodiversity of production sites and supply chains
coordinate forestry research,http://data.europa.eu/esco/skill/2479ac51-f43f-42d1-a912-ff000b351439,0.9090638160705566,1,0.6857015706467839,accelerate research and development efforts
maintain game area,http://data.europa.eu/esco/skill/247b9f2d-e2f6-4c12-87f7-8b6e4f9c4420,0.8817839026451111,0,0.6624478478805118,enhance productivity and efficiency with advanced analytics capabilities in the areas of industrial and building automation
maintain transaction's reports,http://data.europa.eu/esco/skill/24814e7a-70cd-47e5-98b2-d44b46be92d2,0.8987407088279724,0,0.6477607411381676,simplify the network's operations
define technology strategy,http://data.europa.eu/esco/skill/248894d1-42dc-474f-af6e-2da52ac0c679,0.9448361396789551,115,0.7236190633551792,harness the power of multimodal learning to revolutionize knowledge retention and acquisition
assist patients with special needs,http://data.europa.eu/esco/skill/248951cc-3b10-447f-a4b2-0037e6e7a9ab,0.9342383146286011,47,0.7029979824630496,facilitate faster and more efficient diagnoses for patients with cognitive and mental health concerns
form continuous bands,http://data.europa.eu/esco/skill/2496dace-8fc6-4100-8f98-d76fec037735,0.8442932963371277,0,0.6191333389105785,eliminate traditional barriers and complexities associated with developing applications for the cloud
create flower arrangements,http://data.europa.eu/esco/skill/24a776a7-73f2-48a0-9b3e-93b8c78997e4,0.8768240213394165,0,0.6558752572902654,create a seamless customer experience between publications and shoppable interfaces
follow environmentally sustainable work practices in the veterinary sector,http://data.europa.eu/esco/skill/24ae68dc-59c5-4156-b25b-3070bfdaa79e,0.9368311762809753,133,0.695968868192734,develop and promote technologies for transparency in the voluntary carbon credit market
repair core defects,http://data.europa.eu/esco/skill/24bfe7ed-de27-462f-a987-ba99bb377c6c,0.8401656150817871,0,0.6485161365178472,analyze causes of hidden cracks and welding defects
customise drafts,http://data.europa.eu/esco/skill/24c39caf-6f4d-4fa1-bd54-2eb917c0dfde,0.8600932359695435,0,0.653603351036688,"present customized design options for exterior paint jobs, proposed architectural changes, design upgrades and landscaping"
maintain grading equipment,http://data.europa.eu/esco/skill/24c3facd-5306-4fc4-b245-1883d2fdd544,0.9266620874404907,22,0.7198199055121246,accelerate the permitting and construction planning processes
prepare orders,http://data.europa.eu/esco/skill/24c4beb4-429c-4cd1-b0bd-c04ba4c82e13,0.8989699482917786,0,0.6468791918868759,"offer timely suggestions from transportation, food delivery, and government matters to shopping needs"
dispatch ambulance,http://data.europa.eu/esco/skill/24d3dc49-4238-490a-9802-96b146e271fe,0.9225025177001953,10,0.671598362400598,provide situational intelligence to first responders
transport blood samples,http://data.europa.eu/esco/skill/24e09e11-49f4-4e65-86a9-d8179eb6f4ee,0.8911982178688049,0,0.6479323078867395,detection and tracking of defects to certain numbered parts
treat tooth decay,http://data.europa.eu/esco/skill/24e3d6ad-3357-4c6e-af8d-909f0e22f1bf,0.8929113745689392,0,0.6666817341290816,efficiently identify evidence of cervical cancer and precancerous lesions using whole-slide imaging
liaise with auditors,http://data.europa.eu/esco/skill/24e67151-ff7e-43e2-99c0-424a758278a4,0.934377133846283,12,0.6828038740764163,associate entities with the exception
inspect heavy surface mining equipment,http://data.europa.eu/esco/skill/24f49659-e1d4-4935-aeb7-0a24b197d1e1,0.8591306209564209,0,0.6471038261994566,simulating and optimizing supply chains and manufacturing floors
use codes to communicate with taxi drivers,http://data.europa.eu/esco/skill/24f4993f-9d86-42d1-8671-b6ec8b728956,0.9216638803482056,28,0.7302263630597913,provide access to smart insights in single dashboard for real-time monitoring of vehicle inventory including location and health parameters
use watchmaker's tools,http://data.europa.eu/esco/skill/24f57882-6f11-4699-b7cd-62faa1fdd871,0.8973438739776611,0,0.6520033683891486,"offer flexible workflows with transformations, mappings, search, and flagging capabilities"
provide basic support to patients,http://data.europa.eu/esco/skill/24f980ba-b44f-4739-b563-205104c3190d,0.9511231184005737,204,0.719969134621452,"provide actionable, personalized interventions to individuals"
trade in jewellery,http://data.europa.eu/esco/skill/24febd8d-bb08-4be7-a99a-3024f9655ba0,0.8700224161148071,0,0.6010838783734038,engagement improvement in buyer and seller interactions
set up portable field transmission equipment,http://data.europa.eu/esco/skill/24ff9b31-a497-4817-9e9b-c0ff3b3fa0ef,0.8978430032730103,0,0.6677710196807267,set up integrations with granular access control
prepare equid hooves,http://data.europa.eu/esco/skill/250f357f-d667-4e54-97e4-894948e2d062,0.8756272792816162,0,0.635862630396611,use of big data platforms to coordinate and improve the efficiency of grass-roots work
maintain moving constructions on stage,http://data.europa.eu/esco/skill/251d8cda-1dc3-4a03-bb15-43cabec7d3b5,0.9134615659713745,2,0.6903552160244886,"detect advanced threats, streamline and collaborate on investigations, automate the right actions"
debug software,http://data.europa.eu/esco/skill/2522a6ce-3202-4ac8-9f5b-b9cb5a3a83a1,0.9052137136459351,2,0.7153896806932571,"integrate various data sources like code, documentation, and logs to provide root cause and resolution suggestions with supporting evidence"
develop drama production process,http://data.europa.eu/esco/skill/253b7df4-621a-41d7-b363-ccb2e4d6b178,0.9243226647377014,25,0.7139616689996965,design and expedite the discovery and development processes for therapies
